tdate,CN,KR,TW,IN,MY,ID,BR,MX,RU,SA
1999-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584822114927465
1999-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584822114927465
1999-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584822114927465
1999-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1537785874422051
1999-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1537785874422051
1999-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1537785874422051
1999-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1537785874422051
1999-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1537785874422051
1999-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1537785874422051
1999-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1537785874422051
1999-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15336173972132258
1999-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15336173972132258
1999-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1550959001152136
1999-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1550959001152136
1999-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1550959001152136
1999-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1550959001152136
1999-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1550959001152136
1999-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1577273560545594
1999-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1577273560545594
1999-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15618166955714585
1999-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15618166955714585
1999-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15618166955714585
1999-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15618166955714585
1999-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15618166955714585
1999-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15618166955714585
1999-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15866130161498523
1999-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15866130161498523
1999-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15866130161498523
1999-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15866130161498523
1999-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15712388085945245
1999-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15712388085945245
1999-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1566847662207559
1999-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1578786156750317
1999-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1578786156750317
1999-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1578786156750317
1999-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1578786156750317
1999-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1578786156750317
1999-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.170214681186673
1999-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.170214681186673
1999-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.170214681186673
1999-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
1999-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17784650337528476
