ticker,tdate,err,dps,dps1,fx,m2gdp,eps,eps1,roa,icr,growthvalue,ivol
NKY,2002-02-28,-272.0,2.414,5.888,78.9126,,22.734,6.089,1.8120295,4.294617,193.819,29.47
NKY,2002-03-29,-131.0,2.411,5.702,79.4333,,24.205,6.169,1.8162423,4.289098,200.248,29.06
NKY,2002-04-30,-97.0,2.473,7.093,81.1825,,24.348,6.447,1.7695463,4.309594,207.246,23.27
NKY,2002-05-31,32.0,2.212,5.784,82.7424,,25.638,5.768,0.6870814,4.175377,212.631,21.76
NKY,2002-06-28,44.0,2.113,5.629,84.7818,,25.906,5.593,0.4958491,4.1163235,195.444,24.89
NKY,2002-07-31,-60.0,2.058,5.727,85.141,,26.197,5.067,0.49466076,4.126587,179.322,30.42
NKY,2002-08-30,-151.0,1.893,5.869,86.0015,,26.409,4.815,0.49835545,4.1018972,175.446,27.1
NKY,2002-09-30,-210.0,3.375,5.877,84.2323,,26.416,4.968,0.50608253,4.1519732,168.78,31.2
NKY,2002-10-31,-185.0,2.027,5.803,83.4918,,26.684,5.014,0.507135,4.162815,162.397,29.43
NKY,2002-11-29,-111.0,1.989,5.77,83.1966,,27.152,5.106,0.52264744,4.495371,171.694,22.32
NKY,2002-12-31,-190.0,2.059,5.684,84.9876,,26.973,5.291,0.5229218,4.4907937,161.79,22.02
NKY,2003-01-31,-181.0,2.113,5.658,83.5414,,27.553,5.272,0.52091736,4.478315,153.117,25.09
NKY,2003-02-28,-25.0,1.976,5.684,84.8744,,28.13,5.218,0.5077222,4.9043546,151.241,24.28
NKY,2003-03-31,-35.0,1.828,5.768,85.0335,,28.857,4.734,0.4930695,4.911215,145.507,20.69
NKY,2003-04-30,-122.0,1.958,5.767,83.2373,,29.131,4.933,0.5039716,4.94194,144.81902,19.34
NKY,2003-05-30,-126.0,2.074,5.966,81.9875,,28.166,5.498,0.49863186,6.3588486,152.75813,17.13
NKY,2003-06-30,-132.0,2.17,6.066,81.9359,32.704197,28.553,4.594,0.5110308,6.4967957,163.8693,21.05
NKY,2003-07-31,-46.0,2.041,6.067,82.0382,32.75215,28.797,4.723,0.5120327,6.5025024,171.82222,21.0
NKY,2003-08-29,180.0,1.921,6.063,84.9106,32.830563,29.566,4.83,0.58868563,6.341768,182.49295,21.85
NKY,2003-09-30,247.0,2.002,6.222,87.4239,32.92145,29.812,4.684,0.58772933,6.341253,181.16228,27.25
NKY,2003-10-31,214.0,1.906,6.229,88.5919,32.959587,31.154,4.8,0.5914702,6.3287883,185.48206,24.04
NKY,2003-11-28,289.0,1.711,6.351,88.5651,32.992977,32.569,4.792,0.5905095,6.600589,177.90092,23.53
NKY,2003-12-31,284.0,1.665,6.346,89.3769,32.98304,33.542,4.725,0.59329027,6.609518,184.27802,23.75
NKY,2004-01-30,220.0,6.277,6.421,90.4645,33.00458,34.043,4.688,0.59454066,6.5848217,186.81212,21.97
