,BOND,CANA,BUND,GILT,JGB
1998-07-10,5.4110 ,5.2650 ,4.6640 ,5.7890 ,1.6650 
1998-07-13,5.4700 ,5.2940 ,4.7030 ,5.8250 ,1.7050 
1998-07-14,5.4850 ,5.3220 ,4.6990 ,5.8000 ,1.7550 
1998-07-15,5.4790 ,5.3690 ,4.6800 ,5.8700 ,1.7200 
1998-07-16,5.4970 ,5.4030 ,4.6790 ,5.8530 ,1.7500 
1998-07-17,5.5070 ,5.3950 ,4.6850 ,5.8450 ,1.7360 
1998-07-20,5.4700 ,5.3630 ,4.6770 ,5.8400 ,1.7360 
1998-07-21,5.4330 ,5.3340 ,4.6620 ,5.8600 ,1.7400 
1998-07-22,5.4560 ,5.3670 ,4.6640 ,5.9090 ,1.7160 
1998-07-23,5.4330 ,5.3550 ,4.6700 ,5.9050 ,1.6610 
1998-07-24,5.4580 ,5.3850 ,4.6640 ,5.9460 ,1.6750 
1998-07-27,5.4700 ,5.4140 ,4.6550 ,5.9330 ,1.6200 
1998-07-28,5.4910 ,5.4540 ,4.6470 ,5.8290 ,1.6200 
1998-07-29,5.5220 ,5.4840 ,4.6350 ,5.7790 ,1.5850 
1998-07-30,5.4990 ,5.4590 ,4.6330 ,5.8080 ,1.5350 
1998-07-31,5.4940 ,5.4640 ,4.6310 ,5.7690 ,1.5500 
1998-08-03,5.4490 ,5.4420 ,4.6120 ,5.6950 ,1.5450 
1998-08-04,5.4100 ,5.4190 ,4.5960 ,5.6830 ,1.5200 
1998-08-05,5.4410 ,5.4350 ,4.5970 ,5.7150 ,1.5200 
1998-08-06,5.4410 ,5.4840 ,4.5930 ,5.6740 ,1.5100 
1998-08-07,5.3990 ,5.4950 ,4.5620 ,5.6400 ,1.4800 
1998-08-10,5.4050 ,5.5370 ,4.5320 ,5.6040 ,1.4550 
1998-08-11,5.3780 ,5.5040 ,4.4650 ,5.5710 ,1.4710 
1998-08-12,5.3810 ,5.5530 ,4.4800 ,5.5580 ,1.4650 
1998-08-13,5.4380 ,5.5730 ,4.4910 ,5.6310 ,1.4750 
1998-08-14,5.3890 ,5.5450 ,4.4740 ,5.5890 ,1.4660 
1998-08-17,5.3880 ,5.5730 ,4.4240 ,5.5730 ,1.4450 
1998-08-18,5.4070 ,5.6040 ,4.4300 ,5.5890 ,1.4400 
1998-08-19,5.4070 ,5.6290 ,4.4330 ,5.6290 ,1.4750 
1998-08-20,5.3760 ,5.5580 ,4.3440 ,5.5520 ,1.4750 
1998-08-21,5.2880 ,5.5070 ,4.2480 ,5.4870 ,1.4650 
1998-08-24,5.2880 ,5.5600 ,4.2720 ,5.4970 ,1.4250 
1998-08-25,5.2320 ,5.5700 ,4.1670 ,5.4720 ,1.4050 
1998-08-26,5.1980 ,5.6740 ,4.2860 ,5.4960 ,1.3700 
1998-08-27,5.0730 ,5.8780 ,4.1960 ,5.3700 ,1.3750 
1998-08-28,5.0620 ,5.7080 ,4.1960 ,5.3340 ,1.3300 
1998-08-31,4.9760 ,5.6520 ,4.2330 ,5.3290 ,1.3000 
1998-09-01,5.0620 ,5.5250 ,4.2910 ,5.4160 ,1.3000 
1998-09-02,5.0680 ,5.4840 ,4.2850 ,5.4220 ,1.3400 
1998-09-03,5.0280 ,5.5260 ,4.2490 ,5.3660 ,1.3750 
1998-09-04,5.0130 ,5.4850 ,4.2410 ,5.3440 ,1.3550 
1998-09-07,5.0110 ,5.4850 ,4.2460 ,5.3190 ,1.3230 
1998-09-08,5.0610 ,5.5180 ,4.2580 ,5.3630 ,1.2910 
1998-09-09,4.9210 ,5.4700 ,4.1430 ,5.2900 ,1.2900 
1998-09-10,4.7810 ,5.3080 ,4.0350 ,5.1500 ,1.0740 
1998-09-11,4.8300 ,5.2680 ,3.9920 ,5.1780 ,0.9880 
1998-09-14,4.8570 ,5.2840 ,4.0260 ,5.2120 ,0.9750 
1998-09-15,4.8870 ,5.2660 ,3.9980 ,5.1400 ,0.9750 
1998-09-16,4.8710 ,5.2820 ,4.0140 ,5.1390 ,0.9590 
1998-09-17,4.7760 ,5.2580 ,3.9530 ,5.0270 ,0.8560 
1998-09-18,4.6950 ,5.1970 ,3.9630 ,5.0180 ,0.8300 
1998-09-21,4.6740 ,5.1160 ,3.8880 ,4.9470 ,0.9060 
1998-09-22,4.7090 ,5.1130 ,3.9330 ,4.9870 ,0.9110 
1998-09-23,4.6680 ,5.1010 ,3.9680 ,5.0600 ,0.9110 
1998-09-24,4.6300 ,5.0870 ,3.9510 ,5.0660 ,0.9130 
1998-09-25,4.5600 ,5.0410 ,3.9710 ,5.0300 ,0.8410 
1998-09-28,4.5890 ,5.0570 ,3.9670 ,4.9560 ,0.8220 
1998-09-29,4.5660 ,5.0420 ,3.9470 ,4.9790 ,0.8390 
1998-09-30,4.4200 ,4.9610 ,3.8980 ,4.8980 ,0.7820 
1998-10-01,4.2980 ,4.8310 ,3.7950 ,4.7280 ,0.7660 
1998-10-02,4.2800 ,4.8360 ,3.8000 ,4.6270 ,0.7330 
1998-10-05,4.1620 ,4.6750 ,3.7690 ,4.5640 ,0.7720 
1998-10-06,4.1970 ,4.6650 ,3.8000 ,4.6810 ,0.7700 
1998-10-07,4.4010 ,4.7780 ,3.8420 ,4.7260 ,0.8020 
1998-10-08,4.5600 ,4.9160 ,4.0250 ,4.8440 ,0.8230 
1998-10-09,4.7840 ,5.0630 ,4.2260 ,5.1750 ,0.8420 
1998-10-12,4.7800 ,5.0660 ,4.2350 ,5.2570 ,0.9340 
1998-10-13,4.7220 ,5.0280 ,4.1400 ,5.1570 ,0.8660 
1998-10-14,4.6090 ,4.9770 ,4.1270 ,5.0740 ,0.8990 
