,BOND,CANA,BUND,GILT,JGB
42745,122.8750 ,135.7300 ,156.0800 ,119.5700 ,149.2100 
42746,122.9219 ,135.8900 ,156.4300 ,119.5800 ,149.2700 
42747,123.0000 ,136.0200 ,156.8200 ,120.2500 ,149.3400 
42748,122.8906 ,135.7000 ,156.3600 ,119.5300 ,149.2800 
42751,122.8906 ,135.8300 ,156.5200 ,119.9500 ,149.2900 
42752,123.3438 ,136.0900 ,156.8300 ,120.2000 ,149.3900 
42753,122.8281 ,136.0200 ,156.3700 ,119.9600 ,149.3300 
42754,122.2969 ,135.2900 ,155.9900 ,119.2200 ,149.1000 
42755,122.3438 ,135.3800 ,155.2900 ,118.9100 ,149.1900 
42758,122.9219 ,136.0400 ,156.0900 ,119.3400 ,149.2600 
42759,122.3438 ,135.1900 ,155.7400 ,119.3100 ,149.4000 
42760,121.9375 ,134.6100 ,154.7800 ,118.4600 ,149.0900 
42761,122.0938 ,134.6500 ,154.4600 ,117.9500 ,148.8500 
42762,122.2969 ,135.1300 ,154.8700 ,118.4300 ,149.0100 
42765,122.3438 ,135.1500 ,155.0800 ,118.7400 ,148.9400 
42766,122.5938 ,135.2700 ,155.1300 ,118.9500 ,148.8900 
42767,122.4531 ,135.1700 ,154.6400 ,118.4800 ,148.7800 
42768,122.5000 ,135.3300 ,155.3600 ,119.2800 ,148.6900 
42769,122.4063 ,135.0200 ,155.4800 ,119.5800 ,148.7700 
42772,123.0469 ,135.8500 ,156.1500 ,120.0400 ,148.5600 
42773,123.2188 ,136.0400 ,156.3300 ,120.3400 ,148.6700 
42774,123.4688 ,136.7400 ,157.1300 ,121.0700 ,148.7300 
42775,123.0313 ,136.1900 ,157.1400 ,120.9800 ,148.9900 
42776,122.8906 ,136.0200 ,156.8400 ,120.6100 ,148.9300 
42779,122.7031 ,135.6600 ,156.6900 ,120.3900 ,148.8600 
42780,122.3594 ,135.2000 ,156.3700 ,120.1800 ,148.8700 
42781,122.0938 ,135.1400 ,156.2500 ,120.3000 ,148.9100 
42782,122.5781 ,135.5900 ,156.7700 ,120.8700 ,148.8600 
42783,122.8125 ,135.9700 ,157.3300 ,121.3900 ,148.9200 
42786,122.8125 ,135.9700 ,157.4800 ,121.2800 ,148.9700 
42787,122.8125 ,135.8300 ,157.3200 ,121.0700 ,148.9800 
42788,122.8750 ,135.9700 ,157.8700 ,121.5400 ,149.0900 
42789,123.1563 ,136.4400 ,158.4900 ,122.1700 ,149.1700 
42790,123.7031 ,137.1300 ,159.0400 ,123.0600 ,149.4000 
42793,123.2188 ,136.6900 ,158.9100 ,123.1400 ,149.5900 
42794,123.2031 ,136.8800 ,158.8800 ,123.2600 ,149.5800 
42795,122.3438 ,136.2700 ,157.8100 ,122.6400 ,149.4700 
42796,122.1406 ,136.1300 ,157.5100 ,122.5700 ,149.5100 
42797,122.2188 ,136.0600 ,156.9000 ,122.7600 ,149.6000 
42800,122.2344 ,136.1100 ,157.0700 ,122.5700 ,149.5900 
42801,122.0938 ,135.7600 ,157.4800 ,122.8600 ,149.7000 
42802,121.7813 ,135.3900 ,156.7000 ,122.3200 ,149.6100 
42803,121.4688 ,135.0300 ,156.2000 ,122.5100 ,149.3900 
42804,121.6563 ,134.8700 ,155.2400 ,122.2100 ,149.3700 
42807,121.4375 ,134.3800 ,155.4200 ,122.1100 ,149.3300 
42808,121.5156 ,134.6700 ,155.7800 ,122.3200 ,149.4100 
42809,122.3594 ,135.2900 ,156.3000 ,122.4900 ,149.3400 
42810,122.2344 ,135.0800 ,155.9400 ,122.1700 ,149.5900 
42811,122.3750 ,135.4000 ,156.0300 ,122.3100 ,149.5500 
42814,122.6250 ,135.6900 ,156.0000 ,122.3300 ,149.5500 
42815,122.9063 ,135.9100 ,155.7800 ,122.1000 ,149.6900 
42816,123.1563 ,136.3900 ,156.4100 ,122.9800 ,149.8400 
42817,123.0313 ,136.3200 ,156.2400 ,122.4600 ,149.9000 
42818,123.1563 ,136.8500 ,156.4300 ,122.7200 ,149.8100 
42821,123.2969 ,137.1500 ,156.4600 ,123.0300 ,149.8900 
42822,122.9844 ,137.0100 ,156.8000 ,122.9000 ,149.8700 
42823,123.2031 ,137.3400 ,157.3300 ,123.2800 ,149.8700 
42824,122.9688 ,137.0100 ,157.6200 ,123.6600 ,149.7900 
42825,123.1875 ,136.8600 ,157.6000 ,123.6000 ,149.7000 
42828,123.6406 ,137.4400 ,158.2500 ,124.2700 ,149.6400 
42829,123.6406 ,137.5400 ,158.6800 ,124.3700 ,149.8200 
42830,123.6563 ,137.6300 ,158.5500 ,124.0300 ,149.8300 
42831,123.7344 ,137.8400 ,158.5400 ,123.9900 ,149.8400 
42832,123.4375 ,137.4300 ,158.9900 ,124.2500 ,150.0200 
42835,123.5313 ,137.4300 ,159.1300 ,124.0600 ,149.9800 
42836,124.0938 ,137.9200 ,159.3400 ,124.4800 ,150.1000 
42837,124.0781 ,137.9400 ,159.3800 ,124.5000 ,150.3200 
42838,124.6875 ,138.4500 ,159.6700 ,124.6400 ,150.3300 
42839,124.6875 ,138.4500 ,159.6700 ,124.6400 ,150.5100 
42842,124.5156 ,138.3000 ,159.6700 ,124.6400 ,150.5700 
42843,125.1094 ,139.0500 ,159.8000 ,124.7300 ,150.4500 
42844,124.8906 ,138.8200 ,159.3800 ,124.3900 ,150.6000 
42845,124.5625 ,138.5600 ,158.8900 ,124.3800 ,150.5300 
42846,124.6719 ,138.7600 ,158.8900 ,124.7300 ,150.5000 
42849,124.4063 ,138.5200 ,157.5300 ,124.3800 ,150.4000 
42850,124.0156 ,138.2100 ,157.1700 ,124.2100 ,150.4700 
42851,124.1719 ,138.5400 ,157.4500 ,124.1800 ,150.4000 
42852,124.2500 ,138.7100 ,158.1700 ,124.4500 ,150.4000 
42853,124.3281 ,139.0900 ,157.9500 ,124.2700 ,150.4400 
42856,124.0781 ,138.6100 ,157.9500 ,124.2700 ,150.4400 
42857,124.3125 ,139.5300 ,157.8600 ,124.1400 ,150.3500 
42858,124.1563 ,139.2800 ,157.8600 ,124.3100 ,150.3500 
42859,123.7813 ,139.3700 ,157.0900 ,123.9400 ,150.3500 
42860,123.8281 ,139.1300 ,156.6600 ,123.8500 ,150.3500 
42863,123.6719 ,138.9300 ,156.6600 ,123.6000 ,150.2400 
42864,123.4531 ,138.4400 ,156.4900 ,123.0000 ,150.2000 
