,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
1992-04-21,0.02056551,0.0048971176,0.00048947334,-0.0033710003,0.011844873,0.00963974,0.0037850142,0.006564498,0.0073338747,0.006329179,0.0068044662,0.0005660057,0.0067750216,0.011330485
1992-04-22,-0.009068012,-0.020467818,-0.016144812,0.0011838675,-0.0055605173,0.00050258636,-0.012066424,0.039855003,-0.011563182,0.01886797,0.0057572126,-0.009049833,0.0067294836,-0.013284206
1992-04-23,0.0061006546,0.0029851198,0.0,0.026182413,-0.0014714599,0.0054243803,0.02519083,0.010452986,0.00779891,0.057613134,-0.0012444258,0.0039954185,0.018048167,0.0008109808
1992-04-24,-0.009600818,-0.009920657,0.005469799,0.00444448,-0.005304992,0.0005995035,-0.010424495,-0.044137955,-0.011178017,-0.028210104,-0.011961162,-0.009096026,0.015758395,0.0076174736
1992-04-27,-0.012562811,-0.010816097,0.003461957,0.01589644,-0.0011851788,-0.0034825802,-0.01580131,-0.0021645427,-0.0021514893,-0.004153669,-0.005755782,0.0,-0.006101668,0.0028580427
1992-04-28,-0.0055978894,-0.0009940267,0.0059142113,-0.0038716197,0.00029671192,0.0053919554,-0.008409858,0.018799782,0.0008624792,0.0052137375,-0.00050342083,-0.0005658865,-0.017735362,0.006174803
1992-04-29,0.002047062,-0.0019900203,0.017638445,-0.005020261,-0.002372563,-0.006455481,-0.010023177,0.02909863,-0.002154231,0.0072613955,0.0030219555,-0.002265036,-0.014583349,0.0062942505
1992-04-30,0.0,-0.0049850345,0.0038516521,0.015625,0.0044590235,0.004098296,-0.020249128,-0.019310355,0.0021588802,-0.036045372,0.00803411,0.0,-0.0035235882,0.0054730177
1992-05-01,0.022982717,0.015030026,0.0,-0.02419877,0.004143238,-0.0064707994,-0.016693234,0.0063290596,0.017233968,0.009615421,0.002490759,0.009648085,0.01555872,0.0060652494
1992-05-04,0.021467686,0.025666356,0.012949705,0.015109301,-0.005010247,0.007014036,-0.007275641,0.01886785,0.0033884048,0.0042327642,0.0007452965,-0.0005620718,0.04387188,0.02720654
